snapshot,AL_ror_2025,AT_ror_2025,BA_ror_2025,BE_ror_2025,BG_ror_2025,CH_ror_2025,CZ_ror_2025,DE_ror_2025,EE_ror_2025,ES_ror_2025,FI_ror_2025,FR_ror_2025,GR_ror_2025,HR_ror_2025,HU_ror_2025,IE_ror_2025,IT_ror_2025,LT_ror_2025,LU_ror_2025,LV_ror_2025,MD_ror_2025,ME_ror_2025,MK_ror_2025,NL_ror_2025,NO_ror_2025,PL_ror_2025,PT_ror_2025,RO_ror_2025,RS_ror_2025,SE_ror_2025,SI_ror_2025,SK_ror_2025,UK_ror_2025,XK_ror_2025
03.01.2025 17:00,0.07565,0.387241,0.682325,0.594989,0.420909,0.319452,0.786426,0.656522,0,0.546798,0.84655,0.829666,0.15793,0.467381,0.427394,0.892919,0.565882,0.249455,0.607718,0.491316,0,0.15817,0.02134,0,0.636835,0.734428,0.102757,0.438735,0.937845,0.34543,0.641141,0.437196,0.19355,0.07868
03.01.2025 18:00,0.07542,0.381009,0.701031,0.594955,0.365883,0.318609,0.783062,0.674146,0,0.577449,0.8777,0.868586,0.15676,0.470953,0.42692,0.895619,0.577121,0.249053,0.604257,0.449753,0,0.15815,0.02133,0,0.632176,0.743022,0.195162,0.453707,0.928321,0.34561,0.631933,0.424062,0.19353,0.07866
03.01.2025 19:00,0.0752,0.359001,0.634658,0.590673,0.336244,0.317683,0.814668,0.656415,0,0.598248,0.896945,0.870746,0.15542,0.49718,0,0.97481,0.570778,0.249053,0.604776,0.408219,0,0.15812,0.02133,0,0.625484,0.684423,0.42225,0.449635,0.835589,0.3459,0.566652,0.445806,0.1935,0.07864
03.01.2025 20:00,0.07497,0.350143,0.610214,0.589223,0.209954,0.316703,0.844002,0.631881,0,0.598248,0.881232,0.859039,0.15403,0.514946,0.425971,0.905406,0.499851,0,0.601661,0.308761,0,0.15809,0.02133,0,0.625454,0.62422,0.241743,0.479818,0.797494,0.34629,0.502234,0.390287,0.19347,0.07862
03.01.2025 21:00,0.07475,0.327917,0.523807,0.589358,0.132045,0.315615,0.865314,0.611034,0,0.586754,0.846486,0.821654,0.15265,0.508178,0.424785,0.866624,0.444293,0.249002,0.581589,0.272841,0,0.15806,0.02132,0,0.622,0.533772,0.207182,0.475626,0.73985,0.34677,0.416067,0.313355,0.19345,0.07861
03.01.2025 22:00,0.07454,0.304568,0.624562,0.589897,0.114667,0.314526,0.843329,0.617409,0,0.579091,0.854231,0.802395,0.15126,0.449239,0.415535,0.867452,0.389799,0.249355,0.545942,0.257736,0.453125,0.15803,0.02131,0,0.620743,0.524394,0.158476,0.45195,0.473684,0.34722,0.358689,0.238079,0.19342,0.07859
03.01.2025 23:00,0.07433,0.30734,0.650122,0.589999,0.128264,0.313437,0.861125,0.611716,0,0.572523,0.789538,0.776981,0.14989,0.348562,0.412215,0.862727,0.341777,0.249028,0.535387,0.152935,0.296875,0.158,0.0213,0,0.622399,0.523831,0.066735,0.360043,0.413033,0.34774,0.294623,0.222848,0.1934,0.07858
04.01.2025 00:00,0.07413,0.285512,0.20576,0.59364,0.129793,0.312376,0.905551,0.607249,0,0.571429,0.739377,0.755817,0.14855,0.257943,0.41174,0.819956,0.325642,0.248717,0.523793,0.100494,0,0.15797,0.02129,0,0.607068,0.530232,0.059872,0.289136,0.39599,0.34822,0.17109,0.217439,0.19337,0.07856
04.01.2025 01:00,0.07393,0.272398,0.127963,0.594955,0.133129,0.311342,0.891529,0.613583,0,0.554643,0.651152,0.736258,0.14713,0,0.412215,0.77743,0.301247,0.248952,0.509085,0.113276,0,0.15795,0.02128,0,0.603647,0.52939,0.047776,0.289256,0.197494,0.34874,0.156258,0.208057,0.19335,0.07855
04.01.2025 02:00,0.07374,0.269771,0.151716,0.594247,0.132935,0.310389,0.891597,0.620139,0,0.544061,0.584587,0.72889,0.1458,0.242527,0.412096,0.779977,0.29865,0.248918,0.498529,0.099777,0,0.15792,0.02128,0,0.607701,0.529254,0.046752,0.290973,0.243609,0.34919,0.137179,0.210265,0.19332,0.07854
